"WASTE","GEO","UNIT","HAZARD","NACE_R2","TIME","Value","Flag and Footnotes"
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Turkey","Tonne","Total","All NACE activities plus households","2012","30,960,121",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Bosnia and Herzegovina","Tonne","Total","All NACE activities plus households","2012","250,342",""
"Mixed ordinary wastes (subtotal, W101+W102+W103)","Kosovo (under United Nations Security Council Resolution 1244/99)","Tonne","Total","All NACE activities plus households","2012","755,702",""
"Common sludges","European Union (28 countries)","Tonne","Total","All NACE activities plus households","2012","21,510,000",""
"Common sludges","European Union (27 countries)","Tonne","Total","All NACE activities plus households","2012","21,490,000",""
"Common sludges","European Union (25 countries)","Tonne","Total","All NACE activities plus households","2012","21,150,000",""
"Common sludges","European Union (15 countries)","Tonne","Total","All NACE activities plus households","2012","18,940,000",""
"Common sludges","Belgium","Tonne","Total","All NACE activities plus households","2012","2,829,701",""
"Common sludges","Bulgaria","Tonne","Total","All NACE activities plus households","2012","62,562",""
"Common sludges","Czech Republic","Tonne","Total","All NACE activities plus households","2012","797,984",""
"Common sludges","Denmark","Tonne","Total","All NACE activities plus households","2012","171,928",""
"Common sludges","Germany (until 1990 former territory of the FRG)","Tonne","Total","All NACE activities plus households","2012","1,341,622",""
"Common sludges","Estonia","Tonne","Total","All NACE activities plus households","2012","25,133",""
"Common sludges","Ireland","Tonne","Total","All NACE activities plus households","2012","408,723",""
"Common sludges","Greece","Tonne","Total","All NACE activities plus households","2012","109,274",""
"Common sludges","Spain","Tonne","Total","All NACE activities plus households","2012","1,427,488",""
"Common sludges","France","Tonne","Total","All NACE activities plus households","2012","1,470,958",""
"Common sludges","Croatia","Tonne","Total","All NACE activities plus households","2012","17,987",""
"Common sludges","Italy","Tonne","Total","All NACE activities plus households","2012","6,226,128",""
"Common sludges","Cyprus","Tonne","Total","All NACE activities plus households","2012","15,634",""
"Common sludges","Latvia","Tonne","Total","All NACE activities plus households","2012","77,571",""
"Common sludges","Lithuania","Tonne","Total","All NACE activities plus households","2012","52,308",""
"Common sludges","Luxembourg","Tonne","Total","All NACE activities plus households","2012","10,234",""
"Common sludges","Hungary","Tonne","Total","All NACE activities plus households","2012","277,676",""
"Common sludges","Malta","Tonne","Total","All NACE activities plus households","2012","10,806",""
"Common sludges","Netherlands","Tonne","Total","All NACE activities plus households","2012","636,328",""
"Common sludges","Austria","Tonne","Total","All NACE activities plus households","2012","471,415",""
"Common sludges","Poland","Tonne","Total","All NACE activities plus households","2012","586,411",""
"Common sludges","Portugal","Tonne","Total","All NACE activities plus households","2012","686,350",""
"Common sludges","Romania","Tonne","Total","All NACE activities plus households","2012","277,576",""
"Common sludges","Slovenia","Tonne","Total","All NACE activities plus households","2012","84,591",""
"Common sludges","Slovakia","Tonne","Total","All NACE activities plus households","2012","285,714",""
"Common sludges","Finland","Tonne","Total","All NACE activities plus households","2012","391,336",""
"Common sludges","Sweden","Tonne","Total","All NACE activities plus households","2012","602,415",""
"Common sludges","United Kingdom","Tonne","Total","All NACE activities plus households","2012","2,154,749",""
"Common sludges","Iceland","Tonne","Total","All NACE activities plus households","2012","3,449",""
"Common sludges","Liechtenstein","Tonne","Total","All NACE activities plus households","2012","36,850",""
"Common sludges","Norway","Tonne","Total","All NACE activities plus households","2012","125,119",""
"Common sludges","Montenegro","Tonne","Total","All NACE activities plus households","2012","9",""
"Common sludges","Former Yugoslav Republic of Macedonia, the","Tonne","Total","All NACE activities plus households","2012","6,355,016",""
"Common sludges","Serbia","Tonne","Total","All NACE activities plus households","2012","1,891",""
"Common sludges","Turkey","Tonne","Total","All NACE activities plus households","2012","110,685",""
"Common sludges","Bosnia and Herzegovina","Tonne","Total","All NACE activities plus households","2012","5,548",""
"Common sludges","Kosovo (under United Nations Security Council Resolution 1244/99)","Tonne","Total","All NACE activities plus households","2012","150,781",""
"Mineral and solidified wastes (subtotal)","European Union (28 countries)","Tonne","Total","All NACE activities plus households","2012","1,784,370,000",""
"Mineral and solidified wastes (subtotal)","European Union (27 countries)","Tonne","Total","All NACE activities plus households","2012","1,783,520,000",""
"Mineral and solidified wastes (subtotal)","European Union (25 countries)","Tonne","Total","All NACE activities plus households","2012","1,393,800,000",""
"Mineral and solidified wastes (subtotal)","European Union (15 countries)","Tonne","Total","All NACE activities plus households","2012","1,220,280,000",""
"Mineral and solidified wastes (subtotal)","Belgium","Tonne","Total","All NACE activities plus households","2012","35,181,520",""
"Mineral and solidified wastes (subtotal)","Bulgaria","Tonne","Total","All NACE activities plus households","2012","154,212,952",""
"Mineral and solidified wastes (subtotal)","Czech Republic","Tonne","Total","All NACE activities plus households","2012","12,408,695",""
"Mineral and solidified wastes (subtotal)","Denmark","Tonne","Total","All NACE activities plus households","2012","7,270,396",""
"Mineral and solidified wastes (subtotal)","Germany (until 1990 former territory of the FRG)","Tonne","Total","All NACE activities plus households","2012","259,811,499",""
"Mineral and solidified wastes (subtotal)","Estonia","Tonne","Total","All NACE activities plus households","2012","18,234,477",""
"Mineral and solidified wastes (subtotal)","Ireland","Tonne","Total","All NACE activities plus households","2012","4,538,151",""
"Mineral and solidified wastes (subtotal)","Greece","Tonne","Total","All NACE activities plus households","2012","63,811,891",""
"Mineral and solidified wastes (subtotal)","Spain","Tonne","Total","All NACE activities plus households","2012","62,097,940",""
"Mineral and solidified wastes (subtotal)","France","Tonne","Total","All NACE activities plus households","2012","252,705,764",""
"Mineral and solidified wastes (subtotal)","Croatia","Tonne","Total","All NACE activities plus households","2012","855,443",""
"Mineral and solidified wastes (subtotal)","Italy","Tonne","Total","All NACE activities plus households","2012","64,877,930",""
"Mineral and solidified wastes (subtotal)","Cyprus","Tonne","Total","All NACE activities plus households","2012","1,254,920",""
"Mineral and solidified wastes (subtotal)","Latvia","Tonne","Total","All NACE activities plus households","2012","676,661",""
"Mineral and solidified wastes (subtotal)","Lithuania","Tonne","Total","All NACE activities plus households","2012","2,731,427",""
"Mineral and solidified wastes (subtotal)","Luxembourg","Tonne","Total","All NACE activities plus households","2012","7,539,380",""
"Mineral and solidified wastes (subtotal)","Hungary","Tonne","Total","All NACE activities plus households","2012","8,142,770",""
"Mineral and solidified wastes (subtotal)","Malta","Tonne","Total","All NACE activities plus households","2012","1,067,971",""
"Mineral and solidified wastes (subtotal)","Netherlands","Tonne","Total","All NACE activities plus households","2012","87,398,311",""
"Mineral and solidified wastes (subtotal)","Austria","Tonne","Total","All NACE activities plus households","2012","20,965,497",""
"Mineral and solidified wastes (subtotal)","Poland","Tonne","Total","All NACE activities plus households","2012","123,443,145",""
"Mineral and solidified wastes (subtotal)","Portugal","Tonne","Total","All NACE activities plus households","2012","2,484,488",""
"Mineral and solidified wastes (subtotal)","Romania","Tonne","Total","All NACE activities plus households","2012","235,503,272",""
"Mineral and solidified wastes (subtotal)","Slovenia","Tonne","Total","All NACE activities plus households","2012","2,177,827",""
"Mineral and solidified wastes (subtotal)","Slovakia","Tonne","Total","All NACE activities plus households","2012","3,388,846",""
"Mineral and solidified wastes (subtotal)","Finland","Tonne","Total","All NACE activities plus households","2012","72,980,656",""
"Mineral and solidified wastes (subtotal)","Sweden","Tonne","Total","All NACE activities plus households","2012","141,173,397",""
"Mineral and solidified wastes (subtotal)","United Kingdom","Tonne","Total","All NACE activities plus households","2012","137,439,714",""
"Mineral and solidified wastes (subtotal)","Iceland","Tonne","Total","All NACE activities plus households","2012","19,422",""
"Mineral and solidified wastes (subtotal)","Liechtenstein","Tonne","Total","All NACE activities plus households","2012","393,593",""
"Mineral and solidified wastes (subtotal)","Norway","Tonne","Total","All NACE activities plus households","2012","1,560,870",""
"Mineral and solidified wastes (subtotal)","Montenegro","Tonne","Total","All NACE activities plus households","2012","354,752",""
"Mineral and solidified wastes (subtotal)","Former Yugoslav Republic of Macedonia, the","Tonne","Total","All NACE activities plus households","2012","2,029,231",""
"Mineral and solidified wastes (subtotal)","Serbia","Tonne","Total","All NACE activities plus households","2012","54,304,873",""
"Mineral and solidified wastes (subtotal)","Turkey","Tonne","Total","All NACE activities plus households","2012","977,390,525",""
"Mineral and solidified wastes (subtotal)","Bosnia and Herzegovina","Tonne","Total","All NACE activities plus households","2012","3,754,351",""
"Mineral and solidified wastes (subtotal)","Kosovo (under United Nations Security Council Resolution 1244/99)","Tonne","Total","All NACE activities plus households","2012","212,535",""
